(2,0)
(0.533483,1.28794)
(0.287156,-0.287156)
(2.5287,1.04742)
(-1.22465e-16,3.53073)
(-0.199643,0.0826948)
(5.46733,5.46733)
(-6.51376,15.7256)
(41.9999,0)
(-7.22428,-17.441)
(6.48692,-6.48692)
(-0.938566,-0.388767)
(3.44509e-16,-5.69551)
(3.33048,-1.37953)
(-0.915531,-0.915531)
(1.44822,-3.49632)
(2,0)
(-0.581133,-1.40298)
(2.0871,-2.0871)
(1.02868,0.426094)
(9.95799e-17,-1.69551)
(2.23626,-0.926289)
(0.34151,0.34151)
(0.700338,-1.69077)
(2.00005,-1.77636e-15)
(-0.0101882,-0.0245965)
(1.3611,-1.3611)
(1.49734,0.620217)
(-2.10602e-16,-0.46927)
(1.83046,-0.758201)
(0.884417,0.884417)
(0.333608,-0.805402)
(2,0)
(0.333608,0.805402)
(0.884417,-0.884417)
(1.83046,0.758201)
(-1.22465e-16,0.46927)
(1.49734,-0.620217)
(1.3611,1.3611)
(-0.0101882,0.0245965)
(2.00005,0)
(0.700338,1.69077)
(0.34151,-0.34151)
(2.23626,0.926289)
(-9.95799e-17,1.69551)
(1.02868,-0.426094)
(2.0871,2.0871)
(-0.581133,1.40298)
(2,0)
(1.44822,3.49632)
(-0.915531,0.915531)
(3.33048,1.37953)
(-3.44509e-16,5.69551)
(-0.938566,0.388767)
(6.48692,6.48692)
(-7.22428,17.441)
(41.9999,1.77636e-15)
(-6.51376,-15.7256)
(5.46733,-5.46733)
(-0.199643,-0.0826948)
(4.55532e-16,-3.53073)
(2.5287,-1.04742)
(0.287156,0.287156)
(0.533483,-1.28794)
